CODBAIRRO;Pop_health_pdf
1;2749
2;13108
3;12330
4;20477
5;41142
6;12556
7;43764
8;5466
9;17189
10;26510
11;17835
12;25081
13;3361
14;40926
15;50043
16;9661
17;45554
18;24057
19;7178
20;82890
21;13285
22;7061
23;14799
24;146392
25;42743
26;46044
27;21198
28;18009
29;16003
30;12797
31;10980
32;8662
33;163805
34;9343
35;25256
36;86018
37;39365
38;38671
39;36160
40;18711
41;40792
42;57514
43;78678
44;47816
45;59222
46;45202
47;23923
48;41820
49;25226
50;15734
51;9276
52;7972
53;15610
54;45698
55;26659
56;22676
57;8343
58;8766
59;12653
60;10895
61;42172
62;37487
63;49828
64;24646
65;42415
66;45540
67;8756
68;15021
69;43378
70;11356
71;27250
72;18274
73;24964
74;25465
75;8622
76;96382
77;29245
78;10156
79;31185
80;16141
81;6113
82;34456
83;50106
84;15167
85;17246
86;44188
87;21989
88;34040
89;43707
90;48061
91;3528
92;2016
93;11013
94;11756
95;5948
96;4877
97;12512
98;19437
99;32213
100;24848
101;29567
102;6476
103;23856
104;22971
105;1556
106;47144
107;55652
108;26212
109;29310
110;32423
111;27347
112;14049
113;28442
114;97350
115;157326
116;24172
117;17715
118;36515
119;31189
120;70511
121;34709
122;102126
123;37856
124;64147
125;32279
126;818
127;38415
128;135924
129;1970
130;27250
131;14039
132;82240
133;167
134;10842
135;13184
136;1365
137;13062
138;24430
139;180123
140;64228
141;243125
142;105515
143;41458
144;328370
145;30600
146;64649
147;77007
148;94626
149;217333
150;56575
151;110049
152;3577
153;9488
154;69356
155;37839
156;69143
157;129770
158;15482
159;9202
160;15167
161;8133
162;26535
163;5575
